date,cloud_cover
2025-12-07 00:00:00+00:00,0.0
2025-12-07 01:00:00+00:00,0.0
2025-12-07 02:00:00+00:00,0.0
2025-12-07 03:00:00+00:00,0.0
2025-12-07 04:00:00+00:00,0.0
2025-12-07 05:00:00+00:00,0.0
2025-12-07 06:00:00+00:00,0.0
2025-12-07 07:00:00+00:00,0.0
2025-12-07 08:00:00+00:00,0.0
2025-12-07 09:00:00+00:00,0.0
2025-12-07 10:00:00+00:00,0.0
2025-12-07 11:00:00+00:00,0.0
2025-12-07 12:00:00+00:00,0.0
2025-12-07 13:00:00+00:00,0.0
2025-12-07 14:00:00+00:00,0.0
2025-12-07 15:00:00+00:00,0.0
2025-12-07 16:00:00+00:00,0.0
2025-12-07 17:00:00+00:00,0.0
2025-12-07 18:00:00+00:00,0.0
2025-12-07 19:00:00+00:00,0.0
2025-12-07 20:00:00+00:00,0.0
2025-12-07 21:00:00+00:00,0.0
2025-12-07 22:00:00+00:00,0.0
2025-12-07 23:00:00+00:00,0.0
2025-12-08 00:00:00+00:00,0.0
2025-12-08 01:00:00+00:00,0.0
2025-12-08 02:00:00+00:00,0.0
2025-12-08 03:00:00+00:00,0.0
2025-12-08 04:00:00+00:00,3.0
2025-12-08 05:00:00+00:00,8.0
2025-12-08 06:00:00+00:00,14.0
2025-12-08 07:00:00+00:00,27.0
2025-12-08 08:00:00+00:00,46.0
2025-12-08 09:00:00+00:00,19.0
2025-12-08 10:00:00+00:00,22.0
2025-12-08 11:00:00+00:00,26.0
2025-12-08 12:00:00+00:00,19.0
2025-12-08 13:00:00+00:00,15.0
2025-12-08 14:00:00+00:00,30.0
2025-12-08 15:00:00+00:00,40.0
2025-12-08 16:00:00+00:00,48.0
2025-12-08 17:00:00+00:00,53.0
2025-12-08 18:00:00+00:00,50.0
2025-12-08 19:00:00+00:00,37.0
2025-12-08 20:00:00+00:00,27.0
2025-12-08 21:00:00+00:00,13.0
2025-12-08 22:00:00+00:00,0.0
2025-12-08 23:00:00+00:00,0.0
2025-12-09 00:00:00+00:00,0.0
2025-12-09 01:00:00+00:00,0.0
2025-12-09 02:00:00+00:00,0.0
2025-12-09 03:00:00+00:00,1.0
2025-12-09 04:00:00+00:00,0.0
2025-12-09 05:00:00+00:00,0.0
2025-12-09 06:00:00+00:00,3.0
2025-12-09 07:00:00+00:00,6.0
2025-12-09 08:00:00+00:00,9.0
2025-12-09 09:00:00+00:00,9.0
2025-12-09 10:00:00+00:00,9.0
2025-12-09 11:00:00+00:00,10.0
2025-12-09 12:00:00+00:00,9.0
2025-12-09 13:00:00+00:00,6.0
2025-12-09 14:00:00+00:00,19.0
